ac_no,ac_name,winner_party,winner_alliance,runner_up_party,runner_up_alliance,winner_votes,runner_up_votes,total_valid_votes,is_real_result
201,Cumbum,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,91099,79878,170977,1
202,Rajapalayam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,74787,69985,144772,1
203,Srivilliputhur,AIADMK,AIADMK_NDA,IND,OTHERS,88103,51430,139533,1
204,Sattur,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,71513,67086,138599,1
205,Sivakasi,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,76734,61986,138720,1
206,Virudhunagar,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,65499,62629,128128,1
207,Aruppukkottai,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,81485,63431,144916,1
208,Tiruchuli,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,89927,63350,153277,1
209,Paramakudi,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,79254,67865,147119,1
210,Tiruvadanai,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,76786,68090,144876,1
211,Ramanathapuram,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,89365,56143,145508,1
212,Mudhukulathur,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,94946,81598,176544,1
213,Vilathikulam,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,71496,52778,124274,1
214,Thoothukkudi,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,88045,67137,155182,1
215,Tiruchendur,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,88357,62356,150713,1
216,Srivaikuntam,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,65198,61667,126865,1
217,Ottapidaram,AIADMK,AIADMK_NDA,IND,OTHERS,65071,64578,129649,1
218,Kovilpatti,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,64514,64086,128600,1
219,Sankarankovil,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,78751,64262,143013,1
220,Vasudevanallur,AIADMK,AIADMK_NDA,IND,OTHERS,73904,55146,129050,1
221,Kadayanallur,IUML,OTHERS,AIADMK,AIADMK_NDA,70763,69569,140332,1
222,Tenkasi,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,86339,85877,172216,1
223,Alangulam,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,88891,84137,173028,1
224,Tirunelveli,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,81761,81160,162921,1
225,Ambasamudram,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,78555,65389,143944,1
226,Palayamkottai,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,67463,51591,119054,1
227,Nanguneri,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,74932,57617,132549,1
228,Radhapuram,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,69590,69541,139131,1
229,Kanniyakumari,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,89023,83111,172134,1
230,Nagercoil,DMK,DMK_ALLIANCE,BJP,OTHERS,67369,46413,113782,1
231,Colachal,INC,DMK_ALLIANCE,BJP,OTHERS,67195,41167,108362,1
232,Padmanabhapuram,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,76249,35344,111593,1
233,Vilavancode,INC,DMK_ALLIANCE,BJP,OTHERS,68789,35646,104435,1
234,Killiyoor,INC,DMK_ALLIANCE,BJP,OTHERS,77356,31061,108417,1
