ac_no,ac_name,district,region_5way,reservation,is_reserved
200,Bodinayakanur,Theni,South,GEN,0
201,Cumbum,Theni,South,GEN,0
202,Rajapalayam,Virudhunagar,South,GEN,0
203,Srivilliputhur,Virudhunagar,South,SC,1
204,Sattur,Virudhunagar,South,GEN,0
205,Sivakasi,Virudhunagar,South,GEN,0
206,Virudhunagar,Virudhunagar,South,GEN,0
207,Aruppukkottai,Virudhunagar,South,GEN,0
208,Tiruchuli,Virudhunagar,South,GEN,0
209,Paramakudi,Ramanathapuram,South,SC,1
210,Tiruvadanai,Ramanathapuram,South,GEN,0
211,Ramanathapuram,Ramanathapuram,South,GEN,0
212,Mudhukulathur,Ramanathapuram,South,GEN,0
213,Vilathikulam,Thoothukudi,South,GEN,0
214,Thoothukkudi,Thoothukudi,South,GEN,0
215,Tiruchendur,Thoothukudi,South,GEN,0
216,Srivaikuntam,Thoothukudi,South,GEN,0
217,Ottapidaram,Thoothukudi,South,SC,1
218,Kovilpatti,Thoothukudi,South,GEN,0
219,Sankarankovil,Tenkasi,South,SC,1
220,Vasudevanallur,Tenkasi,South,SC,1
221,Kadayanallur,Tenkasi,South,GEN,0
222,Tenkasi,Tenkasi,South,GEN,0
223,Alangulam,Tenkasi,South,GEN,0
224,Tirunelveli,Tirunelveli,South,GEN,0
225,Ambasamudram,Tirunelveli,South,GEN,0
226,Palayamkottai,Tirunelveli,South,GEN,0
227,Nanguneri,Tirunelveli,South,GEN,0
228,Radhapuram,Tirunelveli,South,GEN,0
229,Kanniyakumari,Kanniyakumari,South,GEN,0
230,Nagercoil,Kanniyakumari,South,GEN,0
231,Colachal,Kanniyakumari,South,GEN,0
232,Padmanabhapuram,Kanniyakumari,South,GEN,0
233,Vilavancode,Kanniyakumari,South,GEN,0
234,Killiyoor,Kanniyakumari,South,GEN,0
