ac_no,ac_name,district,region,reservation,urban_rural_type,winner_2021,winner_party_2021,runner_up_2021,runner_up_party_2021,winner_votes_2021,runner_up_votes_2021,margin_votes_2021,margin_pct_2021,turnout_pct_2021,dmk_vote_share_2021,aiadmk_vote_share_2021,bjp_vote_share_2021,congress_vote_share_2021,ntk_vote_share_2021,others_vote_share_2021,dmk_alliance_vote_share_2024,aiadmk_alliance_vote_share_2024,bjp_nda_vote_share_2024,ntk_vote_share_2024,others_vote_share_2024,winning_alliance_2024,contesting_alliance_2026,dmk_alliance_candidate_2026,aiadmk_nda_candidate_2026,tvk_candidate_2026,ntk_candidate_2026,bjp_candidate_2026_if_separate,incumbent_party,incumbent_candidate,incumbent_contesting_again,alliance_change_flag,rebel_candidate_flag,strong_local_candidate_flag
36,Uthiramerur,Kancheepuram,Chennai_Metro,GEN,needs_source,SUNDAR K,DMK,SOMASUNDARAM V,AIADMK,93427,91805,1622,0.77,80.1,44.3773,43.6068,0.0,0.0,5.4173,6.5986,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
37,Kancheepuram,Kancheepuram,Chennai_Metro,GEN,needs_source,C.V.M.P. Ezhailzrasan,DMK,P. Magesh Kumar,PMK,102712,91117,11595,5.05,73.28,44.7679,0.0,0.0,0.0,6.0785,49.1536,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
38,Arakkonam,Ranipet,North,SC,needs_source,S.RAVI,AIADMK,GOWTHAMA SANNAH.J,VCK,85399,58230,27169,15.85,74.89,0.0,49.8209,0.0,0.0,8.5356,41.6435,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
39,Sholingur,Ranipet,North,GEN,needs_source,A.M.MUNIRATHINAM,INC,A.M.KRISHNAN,PMK,110228,83530,26698,11.91,80.09,0.0,0.0,0.0,49.185,4.3086,46.5064,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
40,Katpadi,Vellore,North,GEN,needs_source,DURAIMURUGAN,DMK,V RAMU,AIADMK,85140,84394,746,0.4,74.0,45.7137,45.3132,0.0,0.0,5.6103,3.3628,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
41,Ranipet,Ranipet,North,GEN,needs_source,R.GANDHI,DMK,S.M.SUGUMAR,AIADMK,103291,86793,16498,7.95,77.24,49.7879,41.8356,0.0,0.0,4.933,3.4435,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
42,Arcot,Ranipet,North,GEN,needs_source,J.L.Eswarappan,DMK,Elavazagan.K.L,PMK,103885,83927,19958,9.51,79.62,49.5183,0.0,0.0,0.0,5.7619,44.7198,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
43,Vellore,Vellore,North,GEN,needs_source,Karthikeyan .P,DMK,Appu S.R.K,AIADMK,84299,75118,9181,5.1,70.25,46.8591,41.7557,0.0,0.0,4.7415,6.6437,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
44,Anaikattu,Vellore,North,GEN,needs_source,A.P.Nandakumar,DMK,D.Velazhagan,AIADMK,95159,88799,6360,3.22,77.05,48.1075,44.8922,0.0,0.0,4.1076,2.8927,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
45,Kilvaithinankuppam,Vellore,North,SC,needs_source,M.JAGAN MOORTHY,AIADMK,K Seetharaman,DMK,84579,73997,10582,6.08,76.5,42.4967,48.574,0.0,0.0,5.7585,3.1708,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
46,Gudiyattam,Vellore,North,SC,needs_source,Amulu.V,DMK,Paritha.G,AIADMK,100412,93511,6901,3.26,72.56,47.447,44.1861,0.0,0.0,5.5918,2.7751,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
47,Vaniyambadi,Tirupattur,North,GEN,needs_source,G.SENDHIL KUMAR,AIADMK,N.MOHAMMED NAYEEM,IUML,88018,83114,4904,2.58,75.55,0.0,46.326,0.0,0.0,5.9085,47.7655,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
48,Ambur,Tirupattur,North,GEN,needs_source,VILWANATHAN.A.C,DMK,NAZAR MOHAMED.K,AIADMK,90476,70244,20232,11.37,74.01,50.8641,39.49,0.0,0.0,5.7062,3.9397,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
49,Jolarpet,Tirupattur,North,GEN,needs_source,DEVARAJI.K.,DMK,VEERAMANI.K.C.,AIADMK,89490,88399,1091,0.56,80.98,45.5749,45.0193,0.0,0.0,6.7876,2.6182,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
50,Tirupattur,Tirupattur,North,GEN,needs_source,A. NALLATHAMBI,DMK,T.K. RAJA,PMK,96522,68282,28240,15.19,76.97,51.9131,0.0,0.0,0.0,6.5223,41.5646,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
51,Uthangarai,Krishnagiri,North,SC,needs_source,T.M.TAMILSELVAM,AIADMK,S.Arumugam,INC,99675,71288,28387,15.08,78.37,0.0,52.9558,0.0,37.8742,5.5381,3.6319,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
52,Bargur,Krishnagiri,North,GEN,needs_source,MATHIAZHAGAN D,DMK,KRISHNAN A,AIADMK,97256,84642,12614,6.38,79.08,49.1728,42.7952,0.0,0.0,5.1132,2.9188,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
53,Krishnagiri,Krishnagiri,North,GEN,needs_source,Ashokkumar.K,AIADMK,SENGUTTUVAN.T,DMK,96050,95256,794,0.38,78.5,45.0068,45.382,0.0,0.0,5.262,4.3492,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
54,Veppanahalli,Krishnagiri,North,GEN,needs_source,K.P.Munusamy,AIADMK,P.Murugan,DMK,94104,91050,3054,1.49,81.31,44.3841,45.8728,0.0,0.0,4.0509,5.6922,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
55,Hosur,Krishnagiri,North,GEN,needs_source,PRAKAASH Y,DMK,JYOTHI S,AIADMK,118231,105864,12367,4.98,70.09,47.655,42.6702,0.0,0.0,4.6038,5.071,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
56,Thalli,Krishnagiri,North,GEN,needs_source,RAMACHANDRAN.T,CPI,Dr.NAGESH KUMAR.C,BJP,120641,64415,56226,28.98,77.06,0.0,0.0,33.1998,0.0,1.9462,64.854,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
57,Palacode,Dharmapuri,North,GEN,needs_source,ANBALAGAN.K.P.,AIADMK,MURUGAN.P.K.,DMK,110070,81970,28100,13.6,87.37,39.6767,53.2782,0.0,0.0,3.729,3.3161,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
58,Pennagaram,Dharmapuri,North,GEN,needs_source,MANI. G.K,PMK,INBASEKARAN. P.N.P,DMK,106123,84937,21186,10.07,85.0,40.3875,0.0,0.0,0.0,4.2533,55.3592,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
59,Dharmapuri,Dharmapuri,North,GEN,needs_source,VENKATESHWARAN.S.P.,PMK,SUBRAMANI.P,DMK,105630,78770,26860,12.36,79.69,36.2439,0.0,0.0,0.0,4.0031,59.753,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
60,Pappireddippatti,Dharmapuri,North,GEN,needs_source,GOVINDASAMY.A,AIADMK,PRABHURAJASEKAR.M,DMK,114507,77564,36943,16.72,82.15,35.0978,51.8145,0.0,0.0,3.4268,9.6609,,,,,,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source,needs_source
