ac_no,ac_name,district,region,reservation,urban_rural_type,total_voters,male_voters,female_voters,gender_gap,first_time_voters,winner_2016,winner_party_2016,runner_up_2016,runner_up_party_2016,winner_votes_2016,runner_up_votes_2016,margin_votes_2016,margin_pct_2016,turnout_pct_2016,dmk_vote_share_2016,aiadmk_vote_share_2016,bjp_vote_share_2016,congress_vote_share_2016,ntk_vote_share_2016,others_vote_share_2016,winner_2021,winner_party_2021,runner_up_2021,runner_up_party_2021,winner_votes_2021,runner_up_votes_2021,margin_votes_2021,margin_pct_2021,turnout_pct_2021,dmk_vote_share_2021,aiadmk_vote_share_2021,bjp_vote_share_2021,congress_vote_share_2021,ntk_vote_share_2021,others_vote_share_2021
35,Madurantakam,Chengalpattu,Chennai_Metro,SC,needs_source,,,,,,S.PUGAZHENTHI,DMK,C.K.THAMIZHARASAN,AIADMK,73693.0,70736.0,2957.0,1.66,81.29,41.4287,39.7664,0.0,0.0,0.4571,18.3478,Maragatham. K,AIADMK,Sathya. C.E,DMK,86646,83076,3570,1.92,80.65,44.7025,46.6235,0.0,0.0,5.0005,3.6735
36,Uthiramerur,Kancheepuram,Chennai_Metro,GEN,needs_source,,,,,,SUNDAR.K,DMK,GANESAN.P,AIADMK,85513.0,73357.0,12156.0,6.12,83.0,43.0204,36.9049,0.3954,0.0,0.4669,19.2124,SUNDAR K,DMK,SOMASUNDARAM V,AIADMK,93427,91805,1622,0.77,80.1,44.3773,43.6068,0.0,0.0,5.4173,6.5986
37,Kancheepuram,Kancheepuram,Chennai_Metro,GEN,needs_source,,,,,,C.V.M.P. EZHILARASAN,DMK,T.MYTHILI,AIADMK,90533.0,82985.0,7548.0,3.37,75.49,40.3963,37.0284,1.6269,0.0,0.7844,20.164,C.V.M.P. Ezhailzrasan,DMK,P. Magesh Kumar,PMK,102712,91117,11595,5.05,73.28,44.7679,0.0,0.0,0.0,6.0785,49.1536
38,Arakkonam,Ranipet,North,SC,needs_source,,,,,,RAVI S,AIADMK,RAJKUMAR N,DMK,68176.0,64015.0,4161.0,2.52,75.33,38.6936,41.2086,1.2216,0.0,0.6274,18.2488,S.RAVI,AIADMK,GOWTHAMA SANNAH.J,VCK,85399,58230,27169,15.85,74.89,0.0,49.8209,0.0,0.0,8.5356,41.6435
39,Sholingur,Ranipet,North,GEN,needs_source,,,,,,PARTHIBAN.N.G,AIADMK,MUNIRATHINAM.A.M,INC,77651.0,67919.0,9732.0,4.61,82.03,0.0,36.7903,0.6955,32.1793,0.3914,29.9435,A.M.MUNIRATHINAM,INC,A.M.KRISHNAN,PMK,110228,83530,26698,11.91,80.09,0.0,0.0,0.0,49.185,4.3086,46.5064
40,Katpadi,Vellore,North,GEN,needs_source,,,,,,DURAIMURUGAN,DMK,APPU S.R.K,AIADMK,90534.0,66588.0,23946.0,13.46,77.38,50.899,37.4363,0.0,0.0,0.6381,11.0266,DURAIMURUGAN,DMK,V RAMU,AIADMK,85140,84394,746,0.4,74.0,45.7137,45.3132,0.0,0.0,5.6103,3.3628
41,Ranipet,Ranipet,North,GEN,needs_source,,,,,,GANDHI.R,DMK,ELUMALAI. C,AIADMK,81724.0,73828.0,7896.0,4.14,77.07,42.8453,38.7057,0.7036,0.0,0.4194,17.326,R.GANDHI,DMK,S.M.SUGUMAR,AIADMK,103291,86793,16498,7.95,77.24,49.7879,41.8356,0.0,0.0,4.933,3.4435
42,Arcot,Ranipet,North,GEN,needs_source,,,,,,ESWARAPPAN J L,DMK,RAMADOSS.K.V,AIADMK,84182.0,73091.0,11091.0,5.45,82.4,41.389,35.936,1.3019,0.0,0.0,21.3731,J.L.Eswarappan,DMK,Elavazagan.K.L,PMK,103885,83927,19958,9.51,79.62,49.5183,0.0,0.0,0.0,5.7619,44.7198
43,Vellore,Vellore,North,GEN,needs_source,,,,,,KARTHIKEYAN,DMK,HARUN RASHEED,AIADMK,88264.0,62054.0,26210.0,15.3,68.59,51.5323,36.2298,3.043,0.0,0.9569,8.238,Karthikeyan .P,DMK,Appu S.R.K,AIADMK,84299,75118,9181,5.1,70.25,46.8591,41.7557,0.0,0.0,4.7415,6.6437
44,Anaikattu,Vellore,North,GEN,needs_source,,,,,,NANDAKUMAR. A.P,DMK,KALAIARASU. M,AIADMK,77058.0,68290.0,8768.0,4.83,78.31,42.4277,37.6001,0.9635,0.0,0.3981,18.6106,A.P.Nandakumar,DMK,D.Velazhagan,AIADMK,95159,88799,6360,3.22,77.05,48.1075,44.8922,0.0,0.0,4.1076,2.8927
45,Kilvaithinankuppam,Vellore,North,SC,needs_source,,,,,,LOGANATHAN.G,AIADMK,AMALU V,DMK,75612.0,65866.0,9746.0,5.9,80.39,39.8642,45.7628,1.3376,0.0,0.4769,12.5585,M.JAGAN MOORTHY,AIADMK,K Seetharaman,DMK,84579,73997,10582,6.08,76.5,42.4967,48.574,0.0,0.0,5.7585,3.1708
46,Gudiyattam,Vellore,North,SC,needs_source,,,,,,JAYANTHI PADMANABHAN .C,AIADMK,RAJAMARTHANDAN K.,DMK,94689.0,83219.0,11470.0,5.88,74.11,42.679,48.5614,0.0,0.0,0.4493,8.3103,Amulu.V,DMK,Paritha.G,AIADMK,100412,93511,6901,3.26,72.56,47.447,44.1861,0.0,0.0,5.5918,2.7751
47,Vaniyambadi,Tirupattur,North,GEN,needs_source,,,,,,NILOFER,AIADMK,SYED FAROOQ,IUML,69588.0,55062.0,14526.0,8.41,77.26,0.0,40.3086,1.1208,0.0,0.3609,58.2097,G.SENDHIL KUMAR,AIADMK,N.MOHAMMED NAYEEM,IUML,88018,83114,4904,2.58,75.55,0.0,46.326,0.0,0.0,5.9085,47.7655
48,Ambur,Tirupattur,North,GEN,needs_source,,,,,,BALASUBRAMANIR.(E),AIADMK,NAZEER AHMEDV.R.,Other,79182.0,51176.0,28006.0,17.39,75.87,0.0,49.1585,3.576,0.0,0.3564,46.9091,VILWANATHAN.A.C,DMK,NAZAR MOHAMED.K,AIADMK,90476,70244,20232,11.37,74.01,50.8641,39.49,0.0,0.0,5.7062,3.9397
49,Jolarpet,Tirupattur,North,GEN,needs_source,,,,,,VEERAMANI.K.C.,AIADMK,KAVITHA.C,DMK,82525.0,71534.0,10991.0,6.07,81.03,39.5032,45.5728,0.5638,0.0,0.4793,13.8809,DEVARAJI.K.,DMK,VEERAMANI.K.C.,AIADMK,89490,88399,1091,0.56,80.98,45.5749,45.0193,0.0,0.0,6.7876,2.6182
50,Tirupattur,Tirupattur,North,GEN,needs_source,,,,,,NALLATHAMBI. A,DMK,KUMAR.T.T,AIADMK,80791.0,73144.0,7647.0,4.3,79.06,45.4283,41.1284,1.0296,0.0,0.3885,12.0252,A. NALLATHAMBI,DMK,T.K. RAJA,PMK,96522,68282,28240,15.19,76.97,51.9131,0.0,0.0,0.0,6.5223,41.5646
51,Uthangarai,Krishnagiri,North,SC,needs_source,,,,,,N.MANORANJITHAM,AIADMK,S.MALATHY,DMK,69980.0,67367.0,2613.0,1.45,82.6,37.2985,38.7452,0.8809,0.0,0.4031,22.6723,T.M.TAMILSELVAM,AIADMK,S.Arumugam,INC,99675,71288,28387,15.08,78.37,0.0,52.9558,0.0,37.8742,5.5381,3.6319
52,Bargur,Krishnagiri,North,GEN,needs_source,,,,,,V.RAJENDRAN,AIADMK,GOVINDDARASAN.E.C,DMK,80650.0,79668.0,982.0,0.52,82.16,42.364,42.8862,0.6769,0.0,0.3643,13.7086,MATHIAZHAGAN D,DMK,KRISHNAN A,AIADMK,97256,84642,12614,6.38,79.08,49.1728,42.7952,0.0,0.0,5.1132,2.9188
53,Krishnagiri,Krishnagiri,North,GEN,needs_source,,,,,,T.SENGUTTUVAN,DMK,V.GOVINDARAJ,AIADMK,87637.0,82746.0,4891.0,2.44,80.4,43.7984,41.354,0.0,0.0,0.4928,14.3548,Ashokkumar.K,AIADMK,SENGUTTUVAN.T,DMK,96050,95256,794,0.38,78.5,45.0068,45.382,0.0,0.0,5.262,4.3492
54,Veppanahalli,Krishnagiri,North,GEN,needs_source,,,,,,MURUGAN P,DMK,MADHU A.V.M @ HEMNATH M,AIADMK,88952.0,83724.0,5228.0,2.7,84.74,46.0116,43.3074,1.0169,0.0,0.3042,9.3599,K.P.Munusamy,AIADMK,P.Murugan,DMK,94104,91050,3054,1.49,81.31,44.3841,45.8728,0.0,0.0,4.0509,5.6922
55,Hosur,Krishnagiri,North,GEN,needs_source,,,,,,BALAKRISHNA REDDY P,AIADMK,GOPINATH K,INC,89510.0,66546.0,22964.0,10.67,71.17,0.0,41.5879,13.4042,30.9184,1.4036,12.6859,PRAKAASH Y,DMK,JYOTHI S,AIADMK,118231,105864,12367,4.98,70.09,47.655,42.6702,0.0,0.0,4.6038,5.071
