year,ac_no,ac_name,district,winner,winner_party,runner_up,runner_party,winner_votes,runner_votes,margin_votes,winner_vote_share,runner_vote_share
2016,104,Bhavani,Erode,KARUPPANAN K C,AIADMK_NDA,SIVAKUMAR N,DMK_ALLIANCE,85748,60861,24887,45.38,32.21
2016,105,Anthiyur,Erode,E.M.R.RAJA ALIAS RAJAKRISHNAN.K.R,AIADMK_NDA,VENKATACHALAM A G,DMK_ALLIANCE,71575,66263,5312,42.21,39.07
2016,106,Gobichettipalayam,Erode,SENGOTTAIYAN K.A,AIADMK_NDA,SARAVANAN S.V,DMK_ALLIANCE,96177,84954,11223,47.0,41.52
2016,107,Bhavanisagar,Erode,ESWARAN.S,AIADMK_NDA,SATHYA.R,DMK_ALLIANCE,83006,69902,13104,42.23,35.56
2016,108,Udhagamandalam,The Nilgiris,GANESH R.,DMK_ALLIANCE,VINOTH,AIADMK_NDA,67747,57329,10418,48.34,40.9
2016,109,Gudalur,The Nilgiris,THIRAVIDAMANIM.,DMK_ALLIANCE,KALAISELVAN S.,AIADMK_NDA,62128,48749,13379,47.39,37.19
2016,110,Coonoor,The Nilgiris,RAMU A.,AIADMK_NDA,MUBARAK B. M.,DMK_ALLIANCE,61650,57940,3710,45.71,42.96
2016,111,Mettuppalayam,Coimbatore,CHINNARAJ.O.K,AIADMK_NDA,SURENDRAN. S.,DMK_ALLIANCE,93595,77481,16114,44.41,36.76
2016,112,Avanashi,Tiruppur,DHANAPAL P,AIADMK_NDA,ANANDHAN E,DMK_ALLIANCE,93366,62692,30674,48.11,32.31
2016,113,Tiruppur North,Tiruppur,VIJAYAKUMAR KN,AIADMK_NDA,SAMINATHAN M P,DMK_ALLIANCE,106717,68943,37774,48.56,31.37
2016,114,Tiruppur South,Tiruppur,GUNASEKARAN S,AIADMK_NDA,SELVARAJ K,DMK_ALLIANCE,73351,57418,15933,44.68,34.98
2016,115,Palladam,Tiruppur,NATARAJAN. A,AIADMK_NDA,KRISHNAMOORTHY. S,DMK_ALLIANCE,111866,79692,32174,47.01,33.49
2016,116,Sulur,Coimbatore,KANAGARAJ R.,AIADMK_NDA,MANOHARAN V.M.C.,DMK_ALLIANCE,100977,64346,36631,47.38,30.19
2016,117,Kavundampalayam,Coimbatore,ARUKUTTY V.C.,AIADMK_NDA,PAYYA GOUNDER @ KRISHNAN R.,DMK_ALLIANCE,110870,102845,8025,40.7,37.76
2016,118,Coimbatore North,Coimbatore,ARUN KUMAR P.R.G.,AIADMK_NDA,S.MEENALOGU,DMK_ALLIANCE,77540,69816,7724,41.05,36.96
2016,119,Thondamuthur,Coimbatore,VELUMANIS.P.,AIADMK_NDA,KOVAI SYED @ SYED MOHAMMEDM.A.,OTHERS,109519,45478,64041,55.01,22.84
2016,120,Coimbatore South,Coimbatore,ARJUNAN @ AMMAN ARJUNANK.,AIADMK_NDA,MAYURA JAYAKUMARS.,DMK_ALLIANCE,59788,42369,17419,38.94,27.6
2016,121,Singanallur,Coimbatore,KARTHIK N.,DMK_ALLIANCE,SINGAI MUTHU N.,AIADMK_NDA,75459,70279,5180,40.02,37.28
2016,122,Kinathukadavu,Coimbatore,SHANMUGAM A.,AIADMK_NDA,KURICHI PRABHAKARAN,DMK_ALLIANCE,89042,87710,1332,42.81,42.17
2016,123,Pollachi,Coimbatore,POLLACHI V JAYARAMAN,AIADMK_NDA,TAMILMANI R.,DMK_ALLIANCE,78553,65185,13368,46.59,38.66
2016,124,Valparai,Coimbatore,KASTHURI VASU V.,AIADMK_NDA,PAULPANDI T.,DMK_ALLIANCE,69980,61736,8244,48.68,42.95
2016,125,Udumalaipettai,Tiruppur,RADHAKRISHNAN. K,AIADMK_NDA,MUTHU. MU. KA,DMK_ALLIANCE,81817,76130,5687,44.73,41.62
2016,126,Madathukulam,Tiruppur,JAYARAMAKRISHNAN R,DMK_ALLIANCE,MANOHARAN K,AIADMK_NDA,76619,74952,1667,44.66,43.69
2016,127,Palani,Dindigul,SENTHILKUMAR I P,DMK_ALLIANCE,KUMARASAMY P,AIADMK_NDA,100045,74459,25586,50.66,37.71
2016,128,Oddanchatram,Dindigul,SAKKARAPANI R,DMK_ALLIANCE,KITTUSAMY K,AIADMK_NDA,121715,55988,65727,64.26,29.56
2016,129,Athoor,Dindigul,PERIYASAMY I,DMK_ALLIANCE,VISWANATHAN R NATHAM,AIADMK_NDA,121738,94591,27147,53.1,41.26
2016,130,Nilakkottai,Dindigul,THANGATHURAI R,AIADMK_NDA,ANBAZHAGAN M,DMK_ALLIANCE,85507,70731,14776,48.99,40.52
