ac_no,ac_name,district,region_5way,reservation,is_reserved,winner_party_2016,winner_alliance_2016,runner_up_party_2016,runner_up_alliance_2016,winner_party_2021,winner_alliance_2021,runner_up_party_2021,runner_up_alliance_2021,winner_votes_2021,runner_up_votes_2021,total_valid_votes_2021,margin_pct_2021,vote_share_2021,proj_2026_dmk_alliance_pct,proj_2026_aiadmk_nda_pct,proj_2026_tvk_pct,proj_2026_ntk_pct,proj_2026_others_pct,proj_2026_winner,proj_2026_margin_pct
60,Pappireddippatti,Dharmapuri,North,GEN,0,AIADMK,AIADMK_NDA,PMK,AIADMK_NDA,AIADMK,AIADMK_NDA,IND,DMK_ALLIANCE,0,0,0,0.0,0.0,0.379807,0.455518,0.07857,0.0507,0.035406,AIADMK_NDA,0.075711
61,Harur,Dharmapuri,North,SC,1,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,CPI(M),DMK_ALLIANCE,0,0,0,0.0,0.0,0.364467,0.442715,0.075965,0.045921,0.070933,AIADMK_NDA,0.078248
62,Chengam,Tiruvannamalai,North,SC,1,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.481611,0.347143,0.092385,0.036319,0.042541,DMK_ALLIANCE,0.134468
63,Tiruvannamalai,Tiruvannamalai,North,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,0.0,0.0,0.450754,0.363234,0.096822,0.041948,0.047242,DMK_ALLIANCE,0.08752
64,Kilpennathur,Tiruvannamalai,North,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,0.0,0.0,0.461411,0.338834,0.075177,0.06828,0.056298,DMK_ALLIANCE,0.122577
65,Kalasapakkam,Tiruvannamalai,North,GEN,0,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.434515,0.381971,0.097855,0.038221,0.047439,DMK_ALLIANCE,0.052544
66,Polur,Tiruvannamalai,North,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.356816,0.457429,0.097906,0.055879,0.031969,AIADMK_NDA,0.100613
67,Arani,Tiruvannamalai,North,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.344714,0.463817,0.090184,0.065976,0.035308,AIADMK_NDA,0.119103
68,Cheyyar,Tiruvannamalai,North,GEN,0,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.476376,0.353131,0.081074,0.040849,0.04857,DMK_ALLIANCE,0.123245
69,Vandavasi,Tiruvannamalai,North,SC,1,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,0.0,0.0,0.523553,0.335619,0.089408,0.025041,0.026378,DMK_ALLIANCE,0.187934
